#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2019-11-16-19-56-50
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	set[enum]	string	string	set[string]	vector[string]	vector[string]	vector[string]	vector[string]
1566577882.347973	C0Wv5cr3SF1KQySSf	192.168.134.132	34360	140.233.2.206	80	1	GET	middlebury.edu	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	149	302	Redirect	-	-	-	(empty)	-	-	-	-	-	F2cBUmPRaLdmjTfzc	text/html
1566577882.550134	C2w6esOqg5mWmbTIe	192.168.134.132	34362	140.233.1.160	80	1	GET	www.middlebury.edu	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	18993	200	OK	-	-	-	(empty)	-	-	-	-	-	FF65B42OwHhKQIPxUh	text/html
1566577882.709379	C2w6esOqg5mWmbTIe	192.168.134.132	34362	140.233.1.160	80	2	GET	www.middlebury.edu	/sites/www.middlebury.edu/files/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	7587	200	OK	-	-	-	(empty)	-	-	-	-	-	FIjpmr3vBq5lu6Pqc2	text/plain
1566577882.728033	CWEUMW3QNtXuObwxB8	192.168.134.132	34363	140.233.1.160	80	1	GET	www.middlebury.edu	/sites/www.middlebury.edu/files/css/css_Pqb6WuK7Yc1ZNk5Iq2DHyrK07OQ1wQBDoeGpOP5OIWc.css	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	12786	200	OK	-	-	-	(empty)	-	-	-	-	-	FUHsWx255vKgMyJ004	text/plain
1566577882.732962	CNGK2L3K2obqFfnBF6	192.168.134.132	34364	140.233.1.160	80	1	GET	www.middlebury.edu	/sites/www.middlebury.edu/files/css/css_y5V-74fl2u3TPnO7Vzl0srF2_LEAmcANj4_-6qPJyxk.css	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	16257	200	OK	-	-	-	(empty)	-	-	-	-	-	FSo3Fy2x8li4W32TKa	text/plain
1566577882.740943	C9wcmOrH5Ehqzg5Pe	192.168.134.132	34367	140.233.1.160	80	1	GET	www.middlebury.edu	/misc/jquery.once.js?v=1.2	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	2974	200	OK	-	-	-	(empty)	-	-	-	-	-	F3A3v425QoUhZb7hZ7	text/plain
1566577882.737449	C2w6esOqg5mWmbTIe	192.168.134.132	34362	140.233.1.160	80	3	GET	www.middlebury.edu	/sites/www.middlebury.edu/files/css/css_s7l0Obl-FRTkBfNIKZ2R_X4QtXZSjGQJlToKJd30pZI.css	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	3266	200	OK	-	-	-	(empty)	-	-	-	-	-	FNAsgG634cFyn4tnk	text/plain
1566577882.740610	Ckd9TZxIvstDvLEqb	192.168.134.132	34366	140.233.1.160	80	1	GET	www.middlebury.edu	/sites/www.middlebury.edu/files/css/css_-0Ta-Ulrnh_ks1ZnbyTqoB6Ad1O6FPXKrwDquhWyeJk.css	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	10488	200	OK	-	-	-	(empty)	-	-	-	-	-	Fyak1i2qBrwAFYUt4g	text/plain
1566577882.741529	CGsRsE4mqrZYpjKxJd	192.168.134.132	34365	140.233.1.160	80	1	GET	www.middlebury.edu	/sites/all/libraries/modernizr/modernizr.min.js?q10z22	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	18286	200	OK	-	-	-	(empty)	-	-	-	-	-	FKIivo3t3Ghqd8V1c2	text/plain
1566577882.739984	C019fzLgtmbsdIsx8	192.168.134.132	34369	172.217.10.42	80	1	GET	ajax.googleapis.com	/ajax/libs/jquery/1.7.2/jquery.min.js	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	94840	200	OK	-	-	-	(empty)	-	-	-	-	-	FmAYFE2SFS3gtGcDTe	text/plain
1566577882.754650	CWEUMW3QNtXuObwxB8	192.168.134.132	34363	140.233.1.160	80	2	GET	www.middlebury.edu	/misc/jquery-extend-3.4.0.js?v=1.7.2	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	3415	200	OK	-	-	-	(empty)	-	-	-	-	-	Fmk2AB1nq3WISZ3PB7	text/plain
