#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2019-11-16-20-11-07
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	set[enum]	string	string	set[string]	vector[string]	vector[string]	vector[string]	vector[string]
1566626452.568034	CerkZA4ceLCJzkbIH1	192.168.134.129	26380	34.200.30.249	80	1	GET	wright.edu	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	229	307	Temporary Redirect	-	-	-	(empty)	-	-	-	-	-	FsLyS84MMYi7ddTVtb	text/html
1566626452.546839	CvDpZa1z8E6EGLRoRf	192.168.134.130	40006	107.23.245.220	80	1	GET	whfoods.com	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	39151	200	OK	-	-	-	(empty)	-	-	-	-	-	FIqMXrYtlXwfg27y3	text/html
1566626452.651679	CvDpZa1z8E6EGLRoRf	192.168.134.130	40006	107.23.245.220	80	2	GET	whfoods.com	/images/background3.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	6076	200	OK	-	-	-	(empty)	-	-	-	-	-	FpwASp24AXlhuts5Ka	image/jpeg
1566626452.670454	CmItsg1wHleoA04Xig	192.168.134.130	40008	107.23.245.220	80	1	GET	whfoods.com	/images/georgebanner.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	6491	200	OK	-	-	-	(empty)	-	-	-	-	-	Fip3yz4HsMF8xIiQ9	image/jpeg
1566626452.673899	CVzhLE4fJc7FwTNG86	192.168.134.130	40009	107.23.245.220	80	1	GET	whfoods.com	/images/logo.png	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	56844	200	OK	-	-	-	(empty)	-	-	-	-	-	FP6uAs1153KvgNkQhd	image/png
1566626452.897514	CmItsg1wHleoA04Xig	192.168.134.130	40008	107.23.245.220	80	2	GET	whfoods.com	/weeklyimages/collard-greens-food.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	10634	200	OK	-	-	-	(empty)	-	-	-	-	-	FoLCZY1Jwbi5s2TDg1	image/jpeg
1566626452.898210	CvDpZa1z8E6EGLRoRf	192.168.134.130	40006	107.23.245.220	80	3	GET	whfoods.com	/images/newsletter1.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	11703	200	OK	-	-	-	(empty)	-	-	-	-	-	FZQNuf3Ne6A649Kyt4	image/jpeg
1566626452.896700	CVzhLE4fJc7FwTNG86	192.168.134.130	40009	107.23.245.220	80	2	GET	whfoods.com	/images/cookingwithgeorge.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	12765	200	OK	-	-	-	(empty)	-	-	-	-	-	FU0qYK1pbwyqvYpMHj	image/jpeg
1566626452.924982	COK3073qguB4uUHrX6	192.168.134.130	40010	107.23.245.220	80	1	GET	whfoods.com	/images/powerfulnutrients.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	16327	200	OK	-	-	-	(empty)	-	-	-	-	-	F4biR41jzaXzjc1ro3	image/jpeg
1566626453.013080	CmItsg1wHleoA04Xig	192.168.134.130	40008	107.23.245.220	80	3	GET	whfoods.com	/images/healthyeatingsteps.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	10223	200	OK	-	-	-	(empty)	-	-	-	-	-	FvX21B43Z3x0i3z3ac	image/jpeg
1566626453.014878	CVzhLE4fJc7FwTNG86	192.168.134.130	40009	107.23.245.220	80	3	GET	whfoods.com	/images/mealplancircle.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	18453	200	OK	-	-	-	(empty)	-	-	-	-	-	Fzspar0bosWNrRkf9	image/jpeg
