#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-11-16-19-53-04
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1566566406.713332	CjXHo93f0ZvXk6EiMe	192.168.134.131	12179	207.241.232.8	443	TCP_ack_underflow_or_misorder	-	F	bro
1566566413.844104	CUz8ie123NRZl0dqel	192.168.134.135	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566566413.844567	Ce73MtNQTB9NLdve2	fe80::e03e:de21:7e5d:71cf	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566566428.903265	CO3kjVTqgCLbaRBj4	192.168.134.132	54912	192.168.134.2	53	DNS_RR_unknown_type	39	F	bro
1566566432.343473	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566432.343473	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566433.372024	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566433.372024	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566433.846655	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566433.846655	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566441.531821	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566441.531821	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566443.378023	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566448.012069	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566451.362319	Clo4YD4wZL4YqvEXLl	192.168.134.132	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566566451.362748	CwvIcjXNQWGd1odx4	fe80::fde4:9ccf:e7a0:8101	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566566456.097114	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566456.439138	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566463.185027	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566463.185221	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566468.706982	-	-	-	-	-	dns_unmatched_msg_quantity	-	F	bro
1566566468.706982	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566468.707505	-	-	-	-	-	dns_unmatched_msg_quantity	-	F	bro
1566566468.707505	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566470.022043	CBumQx2VZIwZYRd5Xb	192.168.134.133	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566566470.022505	CKM6aS1YbEyoUf2R2i	fe80::2008:ce51:e05c:7c1a	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566566471.402025	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566471.402025	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566473.186055	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566474.756649	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566474.758901	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566477.712959	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566477.712959	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566477.835568	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566478.868365	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566483.509707	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566483.509707	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566489.311849	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566490.184377	-	-	-	-	-	dns_unmatched_msg	-	F	bro
