#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-11-16-19-54-08
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1566569563.143935	CaigcC1KBRRw6Lxqb	192.168.134.131	18654	164.76.7.120	443	TCP_ack_underflow_or_misorder	-	F	bro
1566569570.685965	CjzJ7C2ZRnOjg8COgi	192.168.134.134	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566569570.686339	CDd2ao1VQqiEfhbfVl	fe80::e5a9:536:ef8c:4445	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566569592.932292	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569592.932292	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569594.058115	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569594.058115	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569600.701335	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569600.701335	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569604.069972	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569608.618285	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569615.250897	C1ovidamzUuaqoK07	192.168.134.135	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566569615.251326	Cjh6BM3zIWw9R8tOd4	fe80::e03e:de21:7e5d:71cf	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566569621.764528	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569621.765532	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569631.767269	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569632.414365	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569632.414365	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569636.485185	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569642.421024	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569645.280430	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569645.280430	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569645.565121	-	-	-	-	-	dns_unmatched_msg_quantity	-	F	bro
1566569645.565121	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569645.565617	-	-	-	-	-	dns_unmatched_msg_quantity	-	F	bro
1566569645.565617	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569647.011825	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569655.610321	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569655.610321	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569665.875291	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569670.130909	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569698.082237	CBm8ek4ez9G9JlZBDf	192.168.134.131	18842	159.127.42.105	443	SYN_after_close	-	F	bro
1566569721.351533	C3xm7m40fO2iXYIIF7	192.168.134.133	20520	172.217.10.10	443	SYN_after_close	-	F	bro
1566569783.246931	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569783.247601	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569793.362506	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569798.617228	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566569849.990073	CIBjdhNXxAYVJvwj7	192.168.134.133	20660	104.16.119.30	443	SYN_after_close	-	F	bro
1566569849.990082	CqqlmH3UFAg2OLRMB4	192.168.134.133	20661	104.16.119.30	443	SYN_after_close	-	F	bro
1566569906.172682	-	-	-	-	-	unknown_protocol_2	-	F	bro
1566569920.482114	CVKEyu47zVArbGo2W	192.168.134.129	16097	172.217.160.67	443	SYN_after_close	-	F	bro
