#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-11-16-19-54-53
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1566571683.342646	CM3OLnUVb2JP5sUVg	192.168.134.135	7131	172.217.12.134	443	premature_connection_reuse	-	F	bro
1566571693.458818	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571693.458818	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571694.470910	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571694.470910	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571699.951436	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571703.013328	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571703.464702	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571703.464702	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571704.463788	CcD2Bh2rK7s3q4V1Te	192.168.134.132	24618	104.200.22.90	443	window_recision	-	F	bro
1566571705.820448	-	-	-	-	-	unknown_protocol_2	-	F	bro
1566571728.015413	CXnFPs1ZTE83p6w29b	192.168.134.130	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566571728.016003	C9VXex8qyKZVqBh5	fe80::31d9:1f63:decf:985a	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566571755.058770	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571755.070318	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571755.170613	CANKrc1fQN5inTTUnc	192.168.134.132	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566571755.171013	CC3YzezNsEtz3pqQg	fe80::fde4:9ccf:e7a0:8101	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566571758.016083	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571758.048393	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571768.972246	CdVLqE4qhBQaUQ0kI4	192.168.134.129	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566571768.972619	CmXXz73mgYpAHM1jCa	fe80::75f8:a759:bc14:e464	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566571775.177378	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571775.177378	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571778.397266	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571778.397266	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571781.423613	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571781.423613	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571788.973335	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571788.990688	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571791.426959	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571793.479784	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571796.020356	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571808.515850	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571825.524714	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571825.525419	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571826.839893	Cs0UgW2odE69DSJ2fg	192.168.134.131	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566571826.840713	CcVkcCocL8HGO5ZDk	fe80::8cf1:7e9:b3f2:238c	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566571832.384909	ChwvMkdb0hwKxyDIl	192.168.134.135	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566571832.385697	Cr4QsL19W4nx9JT2gf	fe80::e03e:de21:7e5d:71cf	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566571835.524774	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571838.636220	CHuUFWwlK9Z1cIiX3	192.168.134.133	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566571838.636603	CPCzpG405YCPDSSxJ4	fe80::2008:ce51:e05c:7c1a	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566571840.115471	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571846.851877	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571846.851877	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571848.207667	C18VuRMeOUWxQIRUj	192.168.134.131	23509	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571848.216913	CZd9FN1MnhVocenHpf	192.168.134.131	23508	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571848.385516	CiIy6XYblGopymyJj	192.168.134.131	23510	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571848.444187	CUIMHd2m9piR2zCIff	192.168.134.131	23511	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571848.456831	CZ3VmPaqHlQQzBiIl	192.168.134.131	23512	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571848.458475	Cr5axL1TZLqHJtUmNa	192.168.134.131	23513	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571848.919095	C4bc48WlsY4Xb2Oh2	192.168.134.131	23517	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
