#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-11-16-19-58-18
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1566582356.547089	CDXRJj4GYPMDZcgTl8	192.168.134.134	11419	172.217.9.230	443	SYN_after_close	-	F	bro
1566582376.176942	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582376.186178	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582376.604618	CXU3xiHE6Fj3U5TGh	192.168.134.130	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566582376.605303	C1HU5C3e5CME4nyvQc	fe80::31d9:1f63:decf:985a	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566582386.180701	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582386.180701	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582402.198180	C1n9af2tuNH62qiyHd	192.168.134.131	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566582402.198766	CGHuZI2KbQvdGFZ0p6	fe80::8cf1:7e9:b3f2:238c	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566582404.105337	CudJ2kl1J8xE9hCQh	192.168.134.132	15744	104.16.56.24	443	SYN_after_close	-	F	bro
1566582404.116275	CC3FiB3R8T7ZHnYaI6	192.168.134.132	15745	104.16.56.24	443	SYN_after_close	-	F	bro
1566582406.613084	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582406.613084	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582422.240803	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582422.240803	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582424.343281	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582424.343829	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582430.579754	CMzt3IM9T1AnOm4ll	192.168.134.132	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566582430.580649	CQZiLs4c5GotzBdgj2	fe80::fde4:9ccf:e7a0:8101	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566582434.384300	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582438.950639	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582450.587688	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582450.587688	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582471.193106	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582471.193106	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582477.340242	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582477.341019	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582481.193169	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582485.164324	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582491.913820	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582493.127387	Cfjb3z2fRMUEcVBh47	192.168.134.135	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566582493.128291	Czd6aD1xKuassdcS7f	fe80::e03e:de21:7e5d:71cf	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566582505.858360	-	-	-	-	-	unknown_protocol_2	-	F	bro
1566582507.345794	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582523.151841	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582523.151841	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582525.312161	C9UjcA30vh5OkXnIh6	192.168.134.130	15189	52.22.87.89	80	unescaped_special_URI_char	-	F	bro
1566582549.843371	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582549.843897	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566582550.833541	C5AYBu3dvvfilr66sk	192.168.134.132	16253	117.121.12.116	80	unescaped_%_in_URI	-	F	bro
