#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-11-16-19-58-31
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1566582997.815088	CqGOJPPxgsOTsazx3	192.168.134.130	15972	18.209.206.50	443	TCP_ack_underflow_or_misorder	-	F	bro
1566583017.004934	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583017.005087	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583028.062863	CzMY59MWKixRZ0oS6	192.168.134.132	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566583028.063378	CwQKsnYD8gi8PnVjd	fe80::fde4:9ccf:e7a0:8101	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566583032.347498	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583032.347615	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583042.379368	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583046.916640	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583047.036511	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583047.036511	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583058.078907	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583058.078907	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583071.600885	C1ThgG1es7ai7Gpiei	192.168.134.133	38848	172.217.12.134	443	SYN_after_close	-	F	bro
1566583085.634010	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583085.634010	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583095.634165	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583100.165990	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583140.995417	-	-	-	-	-	dns_unmatched_msg_quantity	-	F	bro
1566583140.995754	-	-	-	-	-	dns_unmatched_msg_quantity	-	F	bro
1566583144.018421	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583144.018421	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583154.018440	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583157.709383	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583157.709383	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583158.540862	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583167.709390	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583172.307443	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583197.514599	CMlIDt4fHUVs4NbSOe	192.168.134.133	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566583197.515076	C5cWCf47hmjbUAPy8a	fe80::2008:ce51:e05c:7c1a	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566583227.535153	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583227.535153	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566583244.949968	CZzvRK19vt0vqt2sG	192.168.134.135	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
