#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-11-16-20-03-47
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1566600175.246457	CMgcYy1bGrzJ0ZArnl	192.168.134.129	46438	195.181.169.8	443	premature_connection_reuse	-	F	bro
1566600183.999840	C2FVju4A6Mx4tuucF7	192.168.134.132	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566600184.000644	CoLK5x3PPNHQQlboB3	fe80::fde4:9ccf:e7a0:8101	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566600185.710168	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600185.710168	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600185.831240	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600186.717528	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600186.717528	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600189.355616	CUowp5Bw8XW0NfEte	192.168.134.129	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566600189.356246	CqIpITmt6odkBjayi	fe80::75f8:a759:bc14:e464	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566600194.012193	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600194.012193	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600195.723378	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600195.723378	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600196.732250	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600201.290898	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600219.461045	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600219.461045	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600237.857862	CNV7jX109GqasiEiyg	192.168.134.131	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566600237.859498	CNM5CD1buVaDekcD2l	fe80::8cf1:7e9:b3f2:238c	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566600257.879446	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600257.879446	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600316.752807	CBvn9f3Ist6xifagz7	192.168.134.130	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566600316.753248	CDpoOx33lBw77Vlur9	fe80::31d9:1f63:decf:985a	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566600317.200993	CMq0h946X2xOAFwdM6	192.168.134.133	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566600317.201369	CeEVoW3p8UK2fugml5	fe80::2008:ce51:e05c:7c1a	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566600319.209742	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566600319.209742	-	-	-	-	-	dns_unmatched_msg	-	F	bro
