#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-11-16-20-06-40
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1566610637.795827	C7oZQ64LOQGL1jIvh2	192.168.134.131	4103	172.232.19.57	443	TCP_ack_underflow_or_misorder	-	F	bro
1566610646.747189	CspKhf451lM1iVvqu2	192.168.134.135	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566610646.747728	CGuDxa1WFmADjfRlC3	fe80::e03e:de21:7e5d:71cf	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566610667.761997	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610667.761997	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610676.782087	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610676.782087	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610677.774182	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610677.774182	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610711.278765	ChBEZj4sgtBlYygWX1	192.168.134.132	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566610711.279391	Cv4A6X9MiFJ1pQwR4	fe80::fde4:9ccf:e7a0:8101	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566610727.958413	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610727.958413	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610731.290194	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610731.290194	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610737.959059	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610742.495842	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610746.274211	-	-	-	-	-	unknown_protocol_2	-	F	bro
1566610749.112014	C52gbG3RHzhaejteRg	192.168.134.133	37642	103.25.21.68	80	unescaped_%_in_URI	-	F	bro
1566610756.294913	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610756.294913	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610776.696840	CCUg7e2lfHJT5uqal	192.168.134.133	37723	117.121.12.116	80	unescaped_%_in_URI	-	F	bro
1566610778.943663	CxUHrs3s2AeYEx5g9f	192.168.134.133	37743	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610778.944204	CWw6qG2PknyOaUBYX8	192.168.134.133	37744	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610778.944593	CIUHIi2dtHKSOPCkCb	192.168.134.133	37746	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610779.003096	CeyeuX3FBoremtrqZ2	192.168.134.133	37748	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610779.258443	CIUHIi2dtHKSOPCkCb	192.168.134.133	37746	43.241.76.121	80	inflate_failed	-	F	bro
1566610779.258501	CxUHrs3s2AeYEx5g9f	192.168.134.133	37743	43.241.76.121	80	inflate_failed	-	F	bro
1566610779.258704	CWw6qG2PknyOaUBYX8	192.168.134.133	37744	43.241.76.121	80	inflate_failed	-	F	bro
1566610779.296404	CeyeuX3FBoremtrqZ2	192.168.134.133	37748	43.241.76.121	80	inflate_failed	-	F	bro
1566610779.898800	CRl8to1ePV80evNox5	192.168.134.133	37760	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
