#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-11-16-20-13-34
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1566634468.675127	C6dY1t4KHo8OBJSPxg	192.168.134.131	48316	145.239.70.228	80	line_terminated_with_single_CR	-	F	bro
1566634471.935133	CgctAA2bzobOBi0akg	192.168.134.130	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566634471.935922	CV1IxX3YBFbUu3rgle	fe80::31d9:1f63:decf:985a	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566634487.804941	CKHw3jPj6Kaa8dCz9	192.168.134.133	19169	89.163.159.102	443	SYN_after_close	-	F	bro
1566634491.941853	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634491.941853	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634494.910620	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634494.910620	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634495.910961	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634495.910961	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634497.569483	CqVP1i2DbN4FSgX9J6	192.168.134.133	19183	195.201.22.254	443	SYN_after_close	-	F	bro
1566634498.451002	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634498.451002	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634501.943165	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634504.918359	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634504.918359	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634508.451555	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634510.438680	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634512.998289	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634522.497405	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634522.497405	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634527.598072	CpNs6D26N7JVzFQGdg	192.168.134.129	39900	172.217.10.20	80	unescaped_special_URI_char	-	F	bro
1566634537.045761	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634538.214626	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634547.960535	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634547.960535	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634562.491961	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634577.979385	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634604.385673	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634604.386276	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634614.390487	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634619.003594	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634634.713185	CsAoZp492GQcFj7ucc	192.168.134.132	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566634634.714077	ChtfXf4XJlsHcAqJOi	fe80::fde4:9ccf:e7a0:8101	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566634654.715148	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634654.715148	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634704.123285	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634704.123285	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634706.838784	-	-	-	-	-	unknown_protocol_2	-	F	bro
1566634718.794327	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634734.147155	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566634742.063501	CLq98A2z7UJ4hePzE1	192.168.134.134	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566634742.063982	C5vsZ82v9SYqjhsM26	fe80::e5a9:536:ef8c:4445	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
